Hugo Symbol
LYL1
LYN
SH2D1A
OLIG2
EPCAM
LEF1
RPL5
EP300
CRBN
HIST2H3C
EPAS1
ELL
RPL10
SMAD2
SMAD3
SMAD4
EPHA3
EPHA5
EPHA7
MAF
FBXW7
EPHB1
NIN
EPHB4
RPL22
GPHN
EPOR
NCOA3
EPS15
ERBB2
ERBB3
ERBB4
ERCC2
BRIP1
ERCC3
AMER1
LZTR1
ERCC4
ABL1
ERCC5
CLTCL1
ABL2
ERF
ERG
FSTL3
STAG1
RPN1
ZRSR2
SETD6
RBM10
KDM5C
ESR1
SMC1A
MAX
RPS6KB2
LRRK2
ACTB
ETS1
ETV1
ETV4
ETV5
ACTG1
ETV6
MECOM
MCL1
KLF3
IKZF1
EWSR1
EXT1
EXT2
BCL11A
ACVR1
ACVR1B
ACVR2A
RRAS
EZH1
ARID1A
MDM2
EZH2
MBD6
MDM4
HIST3H3
TFG
HIST1H4I
TRRAP
LRP1B
CLIP1
PICALM
HIST2H3A
RXRA
MEF2C
MEF2D
MAP3K1
AXIN1
AXIN2
BAP1
MEN1
KLF2
ZNF331
FANCA
FANCC
FANCD2
FANCE
ACSL3
MET
HIST1H2AL
FANCF
ZBTB7A
FANCG
HIST1H2AC
PARP1
HIST1H2AM
HIST1H2BG
FAT1
ARID1B
NOD1
HIST1H2BC
HIST1H2BO
NDRG1
HIST1H3A
HIST1H3D
HIST1H3C
HIST1H3E
HIST1H3I
HIST1H3G
HIST1H3J
CIITA
HIST1H3H
FCGR2B
ZNRF3
UBR5
HIST1H3B
ATXN2
NUTM2B
ATXN7
FAM175A
SERPINB3
YAP1
SERPINB4
RPTOR
APLNR
MITF
MIB1
ARID5B
MKI67
FES
MLF1
MLH1
FGF3
KMT2A
FGF4
MLLT1
FGF6
AFF1
ETNK1
MLLT3
AFDN
MLLT6
AKT1
FGF10
FOXO4
AKT2
FGF12
FGF14
FGFR1
FGFR3
SPOP
ALB
FGFR2
FGFR4
MAD2L2
MERTK
FH
FHIT
SETD3
DDX41
MN1
ALK
HOXB13
SDC4
ALOX12B
SDHA
RAD54L
SDHB
FOXF1
SDHC
MRTFA
SDHD
MPL
CARM1
CUL4A
NCOA2
CUL3
FOXO1
FOXO3
TRAF7
FLI1
MRE11A
ZNF703
MAP2K4
RRAS2
FLT1
FLT3
SET
FLT4
